long,lat,site_number,nitrate,discharge,state
40.10148448,-76.5658,4.01E+14,21.3,9541.614583,PA
40.12897745,-77.407763,4.01E+14,4,61164.19604,PA
40.1448102,-77.4622082,4.01E+14,5.7,4893.135683,PA
40.1614771,-77.3160951,4.01E+14,6,4648.478899,PA
40.16203558,-77.0135882,4.01E+14,10,8440.659054,PA
40.1675883,-77.2644277,4.01E+14,6.66,4893.135683,PA
40.22758997,-76.9183075,4.01E+14,2.7,1590.269097,PA
40.6592359,-77.6472172,4.04E+14,7.55,6605.733173,PA
40.6964578,-77.5597173,4.04E+14,0.95,78290.17093,PA
40.7058966,-77.9677811,4.04E+14,3.74,9296.957798,PA
40.8514502,-77.82222349,4.05E+14,3.35,22263.76736,PA
40.86256198,-77.7569445,4.05E+14,5.46,12232.83921,PA
40.89006156,-77.7600007,4.05E+14,7.92,4893.135683,PA
40.90561666,-77.77805688,4.05E+14,1.88,46484.78899,PA
40.982567,-77.4663779,4.06E+14,2.64,80736.73878,PA
40.99395697,-77.4172066,4.06E+14,3.3,70950.46741,PA
41.04951066,-77.5252681,4.10E+14,1.76,7829.017093,PA
41.05673415,-77.469431,4.10E+14,1.88,21529.79701,PA
41.157018,-77.21996948,4.11E+14,0.89,107648.985,PA
39.0781621,-78.580012,3.90E+14,0.41,271569.0304,WV
39.30149016,-77.9183298,3.92E+14,4.35,2691.224626,WV
40.92361,-77.48444,1342,3.74,4022.83062,PA
40.90556,-77.77833,1337,1.88,42517.722,PA
40.89,-77.76028,1336,7.92,5140.28357,PA
40.87806,-77.46722,1332,5.72,17170.6185,PA
40.87028,-77.45444,1330,2.86,2502.00441,PA
40.86387,-77.75762,1329,5.46,19078.465,PA
40.85139,-77.8225,1327,4.2,31016.1331,PA
40.70583,-77.96806,1315,3.74,9321.1929,PA
41.05667,-77.46972,1380,1.88,16511.04871,PA
41.04944,-77.52556,1376,1.76,5832.5593,PA
40.99389,-77.4175,1359,3.3,70862.87,PA
40.9825,-77.46667,1357,2.64,54509.9,PA
